platform,row.complexity,n.rows,time.in.ns,memory.usage.in.mb,date.test.performed
isa4J,minimal,100000,774463622,-1,2020-07-26T21:18:07.433318
isa4J,minimal,100000,636765923,-1,2020-07-26T21:18:08.147039
isa4J,minimal,100000,640603481,-1,2020-07-26T21:18:08.865599
isa4J,minimal,100000,638353891,-1,2020-07-26T21:18:09.582231
isa4J,minimal,100000,635647954,-1,2020-07-26T21:18:10.288642
isa4J,minimal,100000,779138136,-1,2020-07-26T21:18:11.152155
isa4J,minimal,100000,789336909,-1,2020-07-26T21:18:12.016880
isa4J,minimal,100000,853352660,-1,2020-07-26T21:18:12.954890
isa4J,minimal,100000,861790045,-1,2020-07-26T21:18:13.893286
isa4J,minimal,100000,853160986,-1,2020-07-26T21:18:14.922828
isa4J,minimal,100000,855818905,-1,2020-07-26T21:18:15.859837
isa4J,minimal,250000,1726868376,-1,2020-07-26T21:18:17.736388
isa4J,minimal,250000,1896800716,-1,2020-07-26T21:18:19.798669
isa4J,minimal,250000,1858302729,-1,2020-07-26T21:18:21.828587
isa4J,minimal,250000,1509637071,-1,2020-07-26T21:18:23.515595
isa4J,minimal,250000,1952892814,-1,2020-07-26T21:18:25.635100
isa4J,minimal,250000,1834232984,-1,2020-07-26T21:18:27.636470
isa4J,minimal,250000,2034726731,-1,2020-07-26T21:18:29.854239
isa4J,minimal,250000,1940838252,-1,2020-07-26T21:18:31.964480
isa4J,minimal,250000,1847731089,-1,2020-07-26T21:18:33.976020
isa4J,minimal,250000,1796703345,-1,2020-07-26T21:18:35.956766
isa4J,minimal,250000,1848556296,-1,2020-07-26T21:18:37.980370
isa4J,minimal,250000,2023992098,-1,2020-07-26T21:18:40.163915
isa4J,minimal,250000,1802794521,-1,2020-07-26T21:18:42.128681
isa4J,minimal,250000,1791553681,-1,2020-07-26T21:18:44.093957
isa4J,minimal,250000,1960283644,-1,2020-07-26T21:18:46.217571
isa4J,minimal,500000,3189214328,-1,2020-07-26T21:18:49.716648
isa4J,minimal,500000,2705602289,-1,2020-07-26T21:18:52.745720
isa4J,minimal,500000,2937839958,-1,2020-07-26T21:18:55.925590
isa4J,minimal,500000,2898961870,-1,2020-07-26T21:18:59.088314
isa4J,minimal,500000,3241115158,-1,2020-07-26T21:19:02.614834
isa4J,minimal,500000,3223433314,-1,2020-07-26T21:19:06.132605
isa4J,minimal,500000,3207072078,-1,2020-07-26T21:19:09.612240
isa4J,minimal,500000,2976684981,-1,2020-07-26T21:19:12.881515
isa4J,minimal,500000,2944289703,-1,2020-07-26T21:19:16.103678
isa4J,minimal,500000,2658095292,-1,2020-07-26T21:19:19.052234
isa4J,minimal,500000,2888485913,-1,2020-07-26T21:19:22.229316
isa4J,minimal,500000,2662604908,-1,2020-07-26T21:19:25.174071
isa4J,minimal,500000,3411357527,-1,2020-07-26T21:19:28.839875
isa4J,minimal,500000,2863345772,-1,2020-07-26T21:19:31.993152
isa4J,minimal,500000,2979192518,-1,2020-07-26T21:19:35.237790
isa4J,minimal,1000000,5564724310,-1,2020-07-26T21:19:41.307473
isa4J,minimal,1000000,5857438480,-1,2020-07-26T21:19:47.646098
isa4J,minimal,1000000,5655817854,-1,2020-07-26T21:19:53.792589
isa4J,minimal,1000000,5857058265,-1,2020-07-26T21:20:00.137840
isa4J,minimal,1000000,5867989843,-1,2020-07-26T21:20:06.499337
isa4J,minimal,1000000,5571142007,-1,2020-07-26T21:20:12.579911
isa4J,minimal,1000000,5812946297,-1,2020-07-26T21:20:19.008576
isa4J,minimal,1000000,5554872740,-1,2020-07-26T21:20:25.103138
isa4J,minimal,1000000,5897895549,-1,2020-07-26T21:20:31.533885
isa4J,minimal,1000000,5331609139,-1,2020-07-26T21:20:37.307215
isa4J,minimal,1000000,5356649284,-1,2020-07-26T21:20:43.263432
isa4J,minimal,1000000,5867294043,-1,2020-07-26T21:20:49.638605
isa4J,minimal,1000000,5675020223,-1,2020-07-26T21:20:55.846205
isa4J,minimal,1000000,5800617622,-1,2020-07-26T21:21:02.131040
isa4J,minimal,1000000,5669553000,-1,2020-07-26T21:21:08.210415
isa4J,reduced,1,3470641,-1,2020-07-26T20:22:40.374560
isa4J,reduced,1,1304269,-1,2020-07-26T20:22:40.411030
isa4J,reduced,1,1521989,-1,2020-07-26T20:22:40.440619
isa4J,reduced,1,1463549,-1,2020-07-26T20:22:40.472296
isa4J,reduced,1,1617288,-1,2020-07-26T20:22:40.504558
isa4J,reduced,1,1616931,-1,2020-07-26T20:22:40.536904
isa4J,reduced,1,2235583,-1,2020-07-26T20:22:40.570526
isa4J,reduced,1,2362494,-1,2020-07-26T20:22:40.604628
isa4J,reduced,1,2310897,-1,2020-07-26T20:22:40.638633
isa4J,reduced,1,2414977,-1,2020-07-26T20:22:40.672794
isa4J,reduced,1,2410444,-1,2020-07-26T20:22:40.703872
isa4J,reduced,1,2197070,-1,2020-07-26T20:22:40.738597
isa4J,reduced,1,2357904,-1,2020-07-26T20:22:40.772490
isa4J,reduced,1,2236008,-1,2020-07-26T20:22:40.805901
isa4J,reduced,1,2400733,-1,2020-07-26T20:22:40.839997
isa4J,reduced,3,2554129,-1,2020-07-26T20:22:40.871799
isa4J,reduced,3,2463668,-1,2020-07-26T20:22:40.905459
isa4J,reduced,3,2489884,-1,2020-07-26T20:22:40.940879
isa4J,reduced,3,2290833,-1,2020-07-26T20:22:40.975333
isa4J,reduced,3,2684717,-1,2020-07-26T20:22:41.006757
isa4J,reduced,3,2366875,-1,2020-07-26T20:22:41.040364
isa4J,reduced,3,2684763,-1,2020-07-26T20:22:41.074720
isa4J,reduced,3,2486893,-1,2020-07-26T20:22:41.107663
isa4J,reduced,3,2489750,-1,2020-07-26T20:22:41.143653
isa4J,reduced,3,2363644,-1,2020-07-26T20:22:41.179426
isa4J,reduced,3,2364836,-1,2020-07-26T20:22:41.213306
isa4J,reduced,3,2419667,-1,2020-07-26T20:22:41.247861
isa4J,reduced,3,2301274,-1,2020-07-26T20:22:41.280098
isa4J,reduced,3,2485866,-1,2020-07-26T20:22:41.314915
isa4J,reduced,3,2421372,-1,2020-07-26T20:22:41.349462
isa4J,reduced,5,2561993,-1,2020-07-26T20:22:41.383393
isa4J,reduced,5,2575229,-1,2020-07-26T20:22:41.418025
isa4J,reduced,5,2636997,-1,2020-07-26T20:22:41.452186
isa4J,reduced,5,2474626,-1,2020-07-26T20:22:41.485461
isa4J,reduced,5,2507593,-1,2020-07-26T20:22:41.520410
isa4J,reduced,5,2601043,-1,2020-07-26T20:22:41.555647
isa4J,reduced,5,2490242,-1,2020-07-26T20:22:41.588594
isa4J,reduced,5,2726079,-1,2020-07-26T20:22:41.623842
isa4J,reduced,5,2525097,-1,2020-07-26T20:22:41.657939
isa4J,reduced,5,2529275,-1,2020-07-26T20:22:41.691474
isa4J,reduced,5,2657776,-1,2020-07-26T20:22:41.725552
isa4J,reduced,5,2569412,-1,2020-07-26T20:22:41.758371
isa4J,reduced,5,2820792,-1,2020-07-26T20:22:41.791879
isa4J,reduced,5,2738278,-1,2020-07-26T20:22:41.826244
isa4J,reduced,5,2814063,-1,2020-07-26T20:22:41.859238
isa4J,reduced,10,3475419,-1,2020-07-26T20:22:41.900411
